Polar MLT image start and end times
2007-10-21/10:50    2007-10-21/11:55
2007-10-21/19:02    2007-10-21/21:43
2007-10-21/22:02    2007-10-21/23:28
2007-10-22/05:02    2007-10-22/06:43
2007-10-22/17:04    2007-10-22/18:09
2007-10-22/23:11    2007-10-22/23:57
2007-10-23/00:00    2007-10-23/05:36
2007-10-23/06:19    2007-10-23/09:06
2007-10-23/10:01    2007-10-23/11:18
2007-10-23/18:03    2007-10-23/20:40
2007-10-23/21:19    2007-10-23/22:25
2007-10-23/22:27    2007-10-23/23:57
2007-10-24/00:00    2007-10-24/01:43
2007-10-24/01:45    2007-10-24/07:15
2007-10-24/20:13    2007-10-24/23:57
2007-10-25/00:00    2007-10-25/00:30
2007-10-25/07:01    2007-10-25/08:42
2007-10-25/12:31    2007-10-25/13:04
2007-10-25/13:06    2007-10-25/14:25
2007-10-25/14:27    2007-10-25/15:03
2007-10-25/15:40    2007-10-25/18:37
2007-10-25/18:53    2007-10-25/19:29
2007-10-26/01:13    2007-10-26/07:36
2007-10-26/09:49    2007-10-26/10:30
2007-10-26/11:49    2007-10-26/13:00
2007-10-26/14:31    2007-10-26/15:18
2007-10-26/20:48    2007-10-26/23:58
2007-10-27/00:06    2007-10-27/03:22
2007-10-27/03:25    2007-10-27/06:55
2007-10-27/16:32    2007-10-27/17:43
2007-10-27/19:02    2007-10-27/23:39
2007-10-28/00:00    2007-10-28/02:48
2007-10-29/02:55    2007-10-29/04:30
2007-10-29/05:01    2007-10-29/07:12
2007-10-29/15:04    2007-10-29/15:39
2007-10-29/22:01    2007-10-29/22:50
2007-10-29/22:52    2007-10-29/23:46
2007-10-30/00:00    2007-10-30/01:18
2007-10-30/01:58    2007-10-30/03:58
2007-10-30/04:00    2007-10-30/05:54
2007-10-30/16:55    2007-10-30/20:48
2007-10-30/22:54    2007-10-30/23:57
2007-10-31/00:00    2007-10-31/00:35
2007-10-31/01:06    2007-10-31/02:15
2007-10-31/02:17    2007-10-31/03:06
2007-10-31/03:24    2007-10-31/05:54
2007-10-31/11:13    2007-10-31/12:36
2007-10-31/14:31    2007-10-31/15:54
2007-10-31/16:31    2007-10-31/23:58
2007-11-01/05:37    2007-11-01/06:31
2007-11-01/06:33    2007-11-01/07:23
2007-11-01/09:02    2007-11-01/10:13
2007-11-01/12:03    2007-11-01/12:50
2007-11-01/14:29    2007-11-01/15:40
2007-11-01/15:59    2007-11-01/17:40
2007-11-02/00:00    2007-11-02/03:48
2007-11-02/04:40    2007-11-02/05:21
2007-11-02/10:10    2007-11-02/10:51
2007-11-02/18:27    2007-11-02/21:59
2007-11-02/22:20    2007-11-02/23:58
2007-11-03/00:24    2007-11-03/04:18
2007-11-03/04:20    2007-11-03/06:02
2007-11-03/07:15    2007-11-03/08:02
2007-11-03/13:30    2007-11-03/15:56
2007-11-03/16:28    2007-11-03/18:48
2007-11-03/19:27    2007-11-03/22:49
2007-11-04/00:00    2007-11-04/00:46
2007-11-04/00:48    2007-11-04/01:42
2007-11-04/07:54    2007-11-04/10:11
2007-11-05/02:07    2007-11-05/04:30
2007-11-05/04:32    2007-11-05/05:03
2007-11-05/06:53    2007-11-05/08:35
2007-11-05/10:11    2007-11-05/11:23
2007-11-05/12:30    2007-11-05/13:32
2007-11-05/20:17    2007-11-05/23:57
2007-11-06/00:00    2007-11-06/05:00
2007-11-06/06:32    2007-11-06/07:49
2007-11-06/15:19    2007-11-06/20:48
2007-11-06/21:29    2007-11-06/23:58
2007-11-07/00:00    2007-11-07/01:28
2007-11-07/01:30    2007-11-07/02:54
2007-11-07/10:17    2007-11-07/13:04
2007-11-07/13:59    2007-11-07/22:16
2007-11-08/04:26    2007-11-08/09:26
2007-11-08/11:28    2007-11-08/12:40
2007-11-08/13:59    2007-11-08/16:10
2007-11-08/22:19    2007-11-08/23:58
2007-11-09/00:00    2007-11-09/06:19
2007-11-09/06:21    2007-11-09/09:33
2007-11-09/10:04    2007-11-09/10:57
2007-11-09/16:58    2007-11-09/18:28
2007-11-09/18:30    2007-11-09/23:57
2007-11-10/01:26    2007-11-10/05:44
2007-11-10/12:00    2007-11-10/16:12
2007-11-10/16:14    2007-11-10/23:00
2007-11-10/23:02    2007-11-10/23:57
2007-11-11/06:13    2007-11-11/12:12
2007-11-11/13:09    2007-11-11/19:08
2007-11-12/00:49    2007-11-12/04:22
2007-11-12/04:24    2007-11-12/06:24
2007-11-12/07:49    2007-11-12/09:48
2007-11-12/10:19    2007-11-12/11:28
2007-11-12/11:31    2007-11-12/12:07
2007-11-12/12:44    2007-11-12/13:43
2007-11-12/18:41    2007-11-12/23:48
2007-11-13/00:00    2007-11-13/06:54
2007-11-13/07:19    2007-11-13/08:36
2007-11-13/14:40    2007-11-13/19:46
2007-11-14/00:06    2007-11-14/01:30
2007-11-14/08:51    2007-11-14/12:56
2007-11-14/13:03    2007-11-14/21:13
2007-11-15/02:31    2007-11-15/10:14
2007-11-15/10:16    2007-11-15/11:41
2007-11-15/11:49    2007-11-15/16:01
2007-11-15/21:02    2007-11-15/23:07
2007-11-15/23:14    2007-11-15/23:57
2007-11-16/00:00    2007-11-16/06:54
2007-11-16/08:03    2007-11-16/09:28
2007-11-16/10:31    2007-11-16/11:06
2007-11-16/15:49    2007-11-16/22:33
2007-11-16/22:35    2007-11-16/23:57
2007-11-17/00:00    2007-11-17/01:06
2007-11-17/01:09    2007-11-17/01:56
2007-11-17/02:14    2007-11-17/04:38
2007-11-17/11:23    2007-11-17/11:54
2007-11-17/11:56    2007-11-17/15:24
2007-11-17/16:18    2007-11-17/22:30
2007-11-18/07:33    2007-11-18/17:03
2007-11-19/00:18    2007-11-19/07:48
2007-11-19/08:01    2007-11-19/10:59
2007-11-19/11:01    2007-11-19/11:55
2007-11-19/17:42    2007-11-19/18:12
2007-11-19/18:14    2007-11-19/23:58
2007-11-20/00:00    2007-11-20/03:32
2007-11-20/03:39    2007-11-20/04:09
2007-11-20/12:35    2007-11-20/18:14
2007-11-20/18:16    2007-11-20/21:23
2007-11-20/21:26    2007-11-20/22:12
2007-11-20/23:00    2007-11-20/23:57
2007-11-21/00:00    2007-11-21/01:36
2007-11-21/08:58    2007-11-21/11:17
2007-11-21/11:30    2007-11-21/20:00
2007-11-22/01:08    2007-11-22/02:07
2007-11-22/02:09    2007-11-22/14:31
2007-11-22/19:34    2007-11-22/21:50
2007-11-22/21:52    2007-11-22/23:57
2007-11-23/00:00    2007-11-23/08:12
2007-11-24/00:00    2007-11-24/01:34
2007-11-24/02:03    2007-11-24/03:26
2007-11-24/10:19    2007-11-24/12:20
2007-11-24/12:41    2007-11-24/21:29
2007-11-25/05:03    2007-11-25/08:33
2007-11-25/08:54    2007-11-25/11:23
2007-11-25/11:36    2007-11-25/16:42
2007-11-25/21:44    2007-11-25/23:58
2007-11-26/00:00    2007-11-26/02:35
2007-11-26/03:15    2007-11-26/13:13
2007-11-26/16:34    2007-11-26/20:24
2007-11-26/20:37    2007-11-26/23:57
2007-11-27/00:00    2007-11-27/05:33
2007-11-27/11:13    2007-11-27/15:53
2007-11-27/15:55    2007-11-27/23:00
2007-11-28/07:53    2007-11-28/18:05
2007-11-29/01:12    2007-11-29/13:18
2007-11-29/17:55    2007-11-29/23:58
2007-11-30/00:00    2007-11-30/03:54
2007-11-30/04:37    2007-11-30/07:31
2007-11-30/13:14    2007-11-30/16:24
2007-11-30/16:34    2007-11-30/22:13
2007-11-30/22:15    2007-11-30/23:58
2007-12-01/00:00    2007-12-01/01:23
2007-12-01/07:14    2007-12-01/08:49
