FAC start and end times
2007-10-07/06:37    2007-10-07/07:36
2007-10-07/21:37    2007-10-07/23:57
2007-10-08/01:02    2007-10-08/02:25
2007-10-08/17:05    2007-10-08/18:22
2007-10-08/19:05    2007-10-08/20:28
2007-10-09/02:13    2007-10-09/03:06
2007-10-10/00:47    2007-10-10/03:35
2007-10-10/06:31    2007-10-10/07:55
2007-10-10/09:32    2007-10-10/10:07
2007-10-10/21:59    2007-10-10/23:58
2007-10-11/00:16    2007-10-11/03:33
2007-10-11/10:18    2007-10-11/10:53
2007-10-11/18:32    2007-10-11/19:54
2007-10-11/21:04    2007-10-11/22:10
2007-10-12/04:07    2007-10-12/05:06
2007-10-12/16:33    2007-10-12/17:26
2007-10-13/00:07    2007-10-13/03:00
2007-10-13/05:55    2007-10-13/08:18
2007-10-13/20:35    2007-10-13/22:22
2007-10-14/00:04    2007-10-14/04:28
2007-10-14/05:05    2007-10-14/06:22
2007-10-14/19:33    2007-10-14/22:14
2007-10-15/06:07    2007-10-15/07:06
2007-10-15/11:36    2007-10-15/12:12
2007-10-15/16:01    2007-10-15/17:06
2007-10-15/18:31    2007-10-15/19:36
2007-10-16/00:37    2007-10-16/05:12
2007-10-16/13:34    2007-10-16/14:09
2007-10-17/01:29    2007-10-17/06:14
2007-10-17/07:33    2007-10-17/08:05
2007-10-18/08:49    2007-10-18/10:00
2007-10-18/10:55    2007-10-18/11:42
2007-10-18/19:00    2007-10-18/21:17
2007-10-19/02:43    2007-10-19/04:12
2007-10-19/05:07    2007-10-19/08:06
2007-10-19/12:52    2007-10-19/14:21
2007-10-19/15:46    2007-10-19/16:33
2007-10-20/08:01    2007-10-20/09:06
2007-10-20/16:08    2007-10-20/17:31
2007-10-20/17:38    2007-10-20/18:19
2007-10-20/20:02    2007-10-20/20:38
2007-10-20/21:13    2007-10-20/22:54
2007-10-21/00:11    2007-10-21/03:48
2007-10-21/10:50    2007-10-21/11:55
2007-10-21/19:02    2007-10-21/21:43
2007-10-21/22:02    2007-10-21/23:28
2007-10-22/05:02    2007-10-22/06:43
2007-10-22/17:04    2007-10-22/18:09
2007-10-23/06:19    2007-10-23/09:06
2007-10-23/10:01    2007-10-23/11:18
2007-10-23/18:03    2007-10-23/20:40
2007-10-24/20:13    2007-10-25/00:30
2007-10-25/07:01    2007-10-25/08:42
2007-10-25/12:31    2007-10-25/15:03
2007-10-25/15:40    2007-10-25/18:37
2007-10-25/18:53    2007-10-25/19:29
2007-10-26/01:13    2007-10-26/07:36
2007-10-26/09:49    2007-10-26/10:30
2007-10-26/11:49    2007-10-26/13:00
2007-10-26/14:31    2007-10-26/15:18
2007-10-26/20:48    2007-10-26/23:58
2007-10-27/00:06    2007-10-27/06:55
2007-10-27/16:32    2007-10-27/17:43
2007-10-27/19:02    2007-10-27/23:39
2007-10-28/00:00    2007-10-28/02:48
2007-10-29/02:55    2007-10-29/04:30
2007-10-29/05:01    2007-10-29/07:12
2007-10-29/15:04    2007-10-29/15:39
2007-10-29/22:01    2007-10-29/23:46
2007-10-30/00:00    2007-10-30/01:18
2007-10-30/01:58    2007-10-30/05:54
2007-10-30/16:55    2007-10-30/20:48
2007-10-31/01:06    2007-10-31/03:06
2007-10-31/03:24    2007-10-31/05:54
2007-10-31/11:13    2007-10-31/12:36
2007-10-31/14:31    2007-10-31/15:54
2007-10-31/16:31    2007-10-31/23:58
2007-11-01/05:37    2007-11-01/07:23
2007-11-01/09:02    2007-11-01/10:13
2007-11-01/12:03    2007-11-01/12:50
2007-11-01/14:29    2007-11-01/15:40
2007-11-01/15:59    2007-11-01/17:40
2007-11-02/00:00    2007-11-02/03:48
2007-11-02/04:40    2007-11-02/05:21
2007-11-02/10:10    2007-11-02/10:51
2007-11-02/18:27    2007-11-02/21:59
2007-11-02/22:20    2007-11-02/23:58
2007-11-03/00:24    2007-11-03/06:02
2007-11-03/07:15    2007-11-03/08:02
2007-11-03/13:30    2007-11-03/15:56
2007-11-03/16:28    2007-11-03/18:48
2007-11-03/19:27    2007-11-03/22:49
2007-11-04/00:00    2007-11-04/01:42
2007-11-04/07:54    2007-11-04/10:11
2007-11-05/02:07    2007-11-05/05:03
2007-11-05/06:53    2007-11-05/08:35
2007-11-05/10:11    2007-11-05/11:23
2007-11-05/12:30    2007-11-05/13:32
2007-11-06/06:32    2007-11-06/07:49
2007-11-06/15:19    2007-11-06/20:48
2007-11-07/10:17    2007-11-07/13:04
2007-11-07/13:59    2007-11-07/22:16
2007-11-08/04:26    2007-11-08/09:26
2007-11-08/11:28    2007-11-08/12:40
2007-11-08/13:59    2007-11-08/16:10
2007-11-09/10:04    2007-11-09/10:57
2007-11-09/16:58    2007-11-09/23:57
2007-11-10/01:26    2007-11-10/05:44
2007-11-10/12:00    2007-11-10/23:57
2007-11-11/06:13    2007-11-11/12:12
2007-11-11/13:09    2007-11-11/19:08
2007-11-12/00:49    2007-11-12/06:24
2007-11-12/07:49    2007-11-12/09:48
2007-11-12/10:19    2007-11-12/12:07
2007-11-12/12:44    2007-11-12/13:43
2007-11-12/18:41    2007-11-12/23:48
2007-11-13/00:00    2007-11-13/06:54
2007-11-13/07:19    2007-11-13/08:36
2007-11-13/14:40    2007-11-13/19:46
2007-11-14/00:06    2007-11-14/01:30
